customerID,BeginDate,EndDate_raw,EndDate_parsed,tenure_months_snapshot,MonthlyCharges,TotalCharges,num_internet_services,has_internet,has_phone,num_services,avg_monthly_from_total,payment_auto,gender,SeniorCitizen,Partner,Dependents,Type,PaperlessBilling,PaymentMethod,InternetService,MultipleLines,churn_left,active_at_snapshot,target
7590-VHVEG,2020-01-01,No,,1.02,29.85,29.85,1,1,0,1,29.264705882352942,0,Female,0,Yes,No,Month-to-month,Yes,Electronic check,DSL,,0,1,1
5575-GNVDE,2017-04-01,No,,34.03,56.95,1889.5,2,1,0,2,55.52453717308257,0,Male,0,No,No,One year,No,Mailed check,DSL,No,0,1,1
3668-QPYBK,2019-10-01,2019-12-01 00:00:00,2019-12-01,4.04,53.85,108.15,2,1,0,2,26.76980198019802,0,Male,0,No,No,Month-to-month,Yes,Mailed check,DSL,No,1,0,0
7795-CFOCW,2016-05-01,No,,45.04,42.3,1840.75,3,1,0,3,40.869227353463586,1,Male,0,No,No,One year,No,Bank transfer (automatic),DSL,,0,1,1
9237-HQITU,2019-09-01,2019-11-01 00:00:00,2019-11-01,5.03,70.7,151.65,0,1,0,0,30.14910536779324,0,Female,0,No,No,Month-to-month,Yes,Electronic check,Fiber optic,No,1,0,0
9305-CDSKC,2019-03-01,2019-11-01 00:00:00,2019-11-01,11.07,99.65,820.5,3,1,1,4,74.11924119241192,0,Female,0,No,No,Month-to-month,Yes,Electronic check,Fiber optic,Yes,1,0,0
1452-KIOVK,2018-04-01,No,,22.04,89.1,1949.4,2,1,1,3,88.44827586206897,1,Male,0,No,Yes,Month-to-month,Yes,Credit card (automatic),Fiber optic,Yes,0,1,1
6713-OKOMC,2019-04-01,No,,10.05,29.75,301.9,1,1,0,1,30.039800995024873,0,Female,0,No,No,Month-to-month,No,Mailed check,DSL,,0,1,1
7892-POOKP,2017-07-01,2019-11-01 00:00:00,2019-11-01,31.04,104.8,3046.05,4,1,1,5,98.13305412371135,0,Female,0,Yes,No,Month-to-month,Yes,Electronic check,Fiber optic,Yes,1,0,0
6388-TABGU,2014-12-01,No,,62.02,56.15,3487.95,2,1,0,2,56.23911641405998,1,Male,0,No,Yes,One year,No,Bank transfer (automatic),DSL,No,0,1,1
9763-GRSKD,2019-01-01,No,,13.01,49.95,587.45,1,1,0,1,45.15372790161415,0,Male,0,Yes,Yes,Month-to-month,Yes,Mailed check,DSL,No,0,1,1
7469-LKBCI,2018-10-01,No,,16.03,18.95,326.8,0,0,0,0,20.386774797255146,1,Male,0,No,No,Two year,No,Credit card (automatic),,No,0,1,1
8091-TTVAX,2015-04-01,No,,58.05,100.35,5681.1,3,1,1,4,97.86563307493542,1,Male,0,Yes,No,One year,No,Credit card (automatic),Fiber optic,Yes,0,1,1
0280-XJGEX,2015-09-01,2019-10-01 00:00:00,2019-10-01,53.02,103.7,5036.3,4,1,1,5,94.98868351565447,1,Male,0,No,No,Month-to-month,Yes,Bank transfer (automatic),Fiber optic,Yes,1,0,0
